2025-09-01|1200|Food|10000
2025-09-02|2500|Rent|10000
2025-09-03|800|Travel|10000
2025-09-04|600|Entertainment|10000
2025-09-05|400|Snacks|10000
2025-09-06|300|Bills|10000
2025-09-07|900|Shopping|10000
2025-09-08|700|Medicine|10000
2025-09-09|1000|Fuel|10000
2025-09-10|1200|Food|10000
2025-09-11|1500|Travel|10000
2025-09-12|500|Snacks|10000
2025-09-13|600|Bills|10000
2025-09-14|750|Entertainment|10000
2025-09-15|850|Shopping|10000
2025-10-01|3000|Rent|12000
2025-10-02|1200|Food|12000
2025-10-03|1500|Travel|12000
2025-10-04|800|Shopping|12000
2025-10-05|500|Snacks|12000
